{'loss': 1.5524, 'learning_rate': 0.0001, 'epoch': 0.01}
{'loss': 1.7524, 'learning_rate': 9.999376947588288e-05, 'epoch': 0.01}
{'loss': 1.5591, 'learning_rate': 9.99750794563087e-05, 'epoch': 0.01}
{'loss': 1.8497, 'learning_rate': 9.994393459922218e-05, 'epoch': 0.02}
{'loss': 1.5793, 'learning_rate': 9.990034266657467e-05, 'epoch': 0.03}
{'loss': 1.4019, 'learning_rate': 9.984431452238967e-05, 'epoch': 0.03}
{'loss': 1.4193, 'learning_rate': 9.977586413005531e-05, 'epoch': 0.04}
{'loss': 1.3067, 'learning_rate': 9.96950085488444e-05, 'epoch': 0.04}
{'loss': 1.7882, 'learning_rate': 9.960176792966289e-05, 'epoch': 0.04}
{'loss': 1.4477, 'learning_rate': 9.949616551002787e-05, 'epoch': 0.05}
{'loss': 1.4369, 'learning_rate': 9.93782276082762e-05, 'epoch': 0.06}
{'loss': 1.3425, 'learning_rate': 9.924798361700553e-05, 'epoch': 0.06}
{'loss': 1.3841, 'learning_rate': 9.910546599574902e-05, 'epoch': 0.07}
{'loss': 1.6572, 'learning_rate': 9.895071026288574e-05, 'epoch': 0.07}
{'loss': 1.763, 'learning_rate': 9.87837549867887e-05, 'epoch': 0.07}
{'loss': 1.6412, 'learning_rate': 9.860464177621284e-05, 'epoch': 0.08}
{'loss': 1.6786, 'learning_rate': 9.841341526992536e-05, 'epoch': 0.09}
{'loss': 1.6728, 'learning_rate': 9.821012312558058e-05, 'epoch': 0.09}
{'loss': 1.5863, 'learning_rate': 9.799481600784286e-05, 'epoch': 0.1}
{'loss': 1.8511, 'learning_rate': 9.776754757575975e-05, 'epoch': 0.1}
{'loss': 1.51, 'learning_rate': 9.752837446938915e-05, 'epoch': 0.1}
{'loss': 1.358, 'learning_rate': 9.727735629568336e-05, 'epoch': 0.11}
{'loss': 1.3105, 'learning_rate': 9.701455561363379e-05, 'epoch': 0.12}
{'loss': 1.7857, 'learning_rate': 9.674003791867991e-05, 'epoch': 0.12}
{'loss': 1.2671, 'learning_rate': 9.645387162638652e-05, 'epoch': 0.12}
{'loss': 2.0619, 'learning_rate': 9.615612805539305e-05, 'epoch': 0.13}
{'loss': 2.5201, 'learning_rate': 9.584688140963944e-05, 'epoch': 0.14}
{'loss': 2.1553, 'learning_rate': 9.552620875987311e-05, 'epoch': 0.14}
{'loss': 0.9398, 'learning_rate': 9.51941900244412e-05, 'epoch': 0.14}
{'loss': 1.4345, 'learning_rate': 9.485090794937319e-05, 'epoch': 0.15}
{'loss': 1.5786, 'learning_rate': 9.449644808775902e-05, 'epoch': 0.15}
{'loss': 1.039, 'learning_rate': 9.413089877842736e-05, 'epoch': 0.16}
